vid,from,WKT,cost_before,cost_remain,visit_number
295850392,295842320,"LINESTRING(8566403.922458988 5354624.512231592,8566377.594149245 5354622.179044063)",5033,16858,1903
2186319127,498715919,"LINESTRING(8566685.040863015 5353367.592198157,8566668.054856729 5353360.593582839)",3664,18003,1133
2186319238,2186319351,"LINESTRING(8566173.762073817 5353266.1127912365,8566221.322891416 5353190.295565843)",4150,17854,2338
2186319256,2186319103,"LINESTRING(8566138.091460617 5353323.8509387765,8566110.064550247 5353337.848119407)",4129,17669,1550
6484967344,674112120,"LINESTRING(8565808.562938677 5351651.922531971,8565800.069935534 5351651.339421339)",2999,18844,1725
2318283695,2318283642,"LINESTRING(8569002.781420683 5352788.4745840905,8569032.506931683 5352671.255767108)",1882,20093,2246
260008107,2914370404,"LINESTRING(8565174.13560391 5351910.827261187,8564987.28953477 5351892.1672200365)",4096,18194,3156
297446497,260713295,"LINESTRING(8564380.039810058 5352138.832660539,8564351.163599372 5352475.894353247)",5319,17360,4734
4366524883,2279349815,"LINESTRING(8563887.445627777 5356405.488303072,8563808.460698549 5356369.317037829)",9084,13864,6055
5472928898,5472928897,"LINESTRING(8566223.021492045 5351243.170943203,8566184.802977903 5351240.255518459)",2603,19401,2335
5915719796,2280835784,"LINESTRING(8567062.979502868 5356546.674265048,8567075.719007583 5356613.767518818)",6475,15944,3563
6562133500,6562133516,"LINESTRING(8565305.777152624 5352669.506243709,8565304.927852308 5352679.420213982)",4463,17717,2844
6556748302,2318895600,"LINESTRING(8564683.240022257 5355085.911564495,8564618.693198372 5355288.911187183)",7240,15214,3719
5344050704,5344050705,"LINESTRING(8566638.329345727 5350846.098500786,8566645.123748243 5350773.216265418)",2415,20047,3763
2281407873,2281407994,"LINESTRING(8567717.790045178 5354901.582411062,8567598.038700866 5354917.915226555)",4494,17485,2261
7486734700,7484670380,"LINESTRING(8567123.279825183 5356180.878689218,8567121.581224553 5356267.804883447)",6098,16210,3209
2200689673,2200691528,"LINESTRING(8564924.441311512 5353688.367716702,8564961.81052534 5353770.604676032)",5852,16630,3856
260713295,297447192,"LINESTRING(8564577.926783286 5352158.076338617,8564380.039810058 5352138.832660539)",4981,17662,4561
2433350473,2280852551,"LINESTRING(8563112.03444084 5358363.030271906,8563098.44563581 5358362.44674048)",10890,11884,5197
6350830502,6350830500,"LINESTRING(8569435.924580965 5354413.944413644,8569412.993472481 5354423.276958386)",3882,19146,6421
259988473,3741078540,"LINESTRING(8564684.938622884 5351019.268980899,8564489.5995506 5351001.776866927)",4426,18696,6789
4881359146,4881359142,"LINESTRING(8566816.682411727 5350759.805996273,8566753.83418847 5350763.304325491)",2337,20118,3727
2315734708,5539369183,"LINESTRING(8568111.016090691 5352865.454908937,8568129.700697605 5352858.456671272)",1995,19341,373
6552126400,6552126398,"LINESTRING(8563640.299236322 5352106.176813037,8563660.682443865 5352107.926230534)",5857,17324,6991
253961133,2281409071,"LINESTRING(8566603.508032843 5355459.83097113,8566572.083921215 5355734.5925639365)",5809,16182,2309
6467393284,260542043,"LINESTRING(8567466.397152152 5352115.507043488,8567406.94613015 5352112.591345467)",1751,19436,190
295844347,2281408127,"LINESTRING(8567175.087144352 5354144.471221882,8567164.046240268 5354286.206148473)",3982,17636,996
